Movie_Name,Genre,Running_Time,Metascore,Release_year,IMDb_Rating,Movie_Description,Votes,Gross
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",131 min,58,1983,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","1,088,362",$309.13M
Tenkû no shiro Rapyuta,"Animation, Adventure, Family",125 min,78,1986,8,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"174,090",
Gojira,"Horror, Sci-Fi",96 min,78,1954,7.5,"American nuclear-weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast.","36,101",$2.42M
Na srebrnym globie,"Adventure, Drama, Fantasy",166 min,72,1988,7.2,"A team of astronauts land on an inhabitable planet and form a society. Many years later, a single astronaut is sent to the planet and becomes a messiah.","3,983",
Bride of Frankenstein,"Drama, Horror, Sci-Fi",75 min,95,1935,7.8,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.","50,924",$4.36M
Ex Machina,"Drama, Sci-Fi, Thriller",108 min,78,2014,7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,"566,870",$25.44M
Night of the Living Dead,"Horror, Thriller",96 min,89,1968,7.8,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,"134,282",$0.09M
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Animation, Adventure, Music",68 min,,2003,7.8,"A continuation of the story told in the Daft Punk music videos ""One More Time,"" ""Aerodynamic,"" ""Digital Love,"" and ""Harder, Better, Faster, Stronger.""","15,218",
The War Game,"Drama, War",48 min,,1966,8,A docudrama depicting a hypothetical nuclear attack on Britain.,"7,088",
La planète sauvage,"Animation, Sci-Fi",72 min,73,1973,7.7,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.","34,780",$0.19M
Center Jenny,"Comedy, Fantasy, Sci-Fi",53 min,,2013,6.9,"The film focuses on the life of Jenny who has, according to many of the other characters, become too ""left-of-center"" while pursuing her interests.",99,
Avengers: Infinity War,"Action, Adventure, Sci-Fi",149 min,68,2018,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"1,145,906",$678.82M
Gekijôban Gintama: Shin'yaku Benizakura hen,"Animation, Action, Comedy",96 min,,2010,7.6,"The silver-haired samurai Sakata Gintoki investigates the disappearance of a legendary sword named Benizakura while his partners Kagura and Shimura Shinpachi try to find out what has happened to Gintoki's friend, Kotaro Katsura.","2,150",
Donnie Darko,"Drama, Mystery, Sci-Fi",113 min,88,2001,8,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","826,483",$1.48M
The Rocky Horror Picture Show,"Comedy, Horror, Musical",100 min,65,1975,7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,"159,625",$139.88M
Posetitel muzeya,"Drama, Horror, Sci-Fi",136 min,,1989,7.2,"In a post-apocalyptic world, in which a large part of the population consists of demented and deformed mutants being kept in reservations, a man embarks upon visiting the ruins of a museum ...                See full summary »","1,263",
Dong,"Drama, Fantasy, Musical",95 min,,1998,7.5,"While never-ending rain and a strange disease spread by cockroaches ravage Taiwan, a plumber makes a hole between two apartments and the inhabitants of each form a unique connection, enacted in musical numbers.","4,249",
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",115 min,61,2001,7.8,"A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.","51,133",$1.00M
The Fly,"Drama, Horror, Sci-Fi",96 min,79,1986,7.6,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,"193,341",$40.46M
Batman: Mask of the Phantasm,"Animation, Action, Adventure",76 min,65,1993,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually committed by a new vigilante assassin.,"54,326",$5.62M
The Mitchells vs the Machines,"Animation, Adventure, Comedy",114 min,81,2021,7.6,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","119,313",
2046,"Drama, Romance, Sci-Fi",129 min,78,2004,7.4,"Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love.","60,036",$1.44M
Aayirathil Oruvan,"Action, Adventure",183 min,,2010,8,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.","7,283",
"Wax, or the Discovery of Television Among the Bees","Documentary, Drama, Sci-Fi",85 min,,1991,7,"A man recalls the story of how his bees implanted in him a bee television, causing him to lose all perception of space, time, and self in the deserts of the American West.",418,
Avengers: Endgame,"Action, Adventure, Drama",181 min,78,2019,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","1,204,304",$858.37M
Urusei Yatsura 2: Byûtifuru dorîmâ,"Animation, Adventure, Comedy",98 min,,1984,7.4,"The night before the school festival, things seem to be repeating themselves. Gradually, all the world functions come to a stop, the only ones that are not affected are a select group of student friends.","2,124",
Les yeux sans visage,"Drama, Horror",90 min,90,1960,7.6,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,"33,622",$0.05M
Eraserhead,"Fantasy, Horror",89 min,87,1977,7.3,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.","122,546",$7.00M
Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi",113 min,68,1982,7.7,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.","126,325",$78.91M
The Last Angel of History,"Documentary, Sci-Fi",45 min,,1996,7.1,"Framed by the fictional story of the ""data thief"", this hybrid documentary takes a look at the origins, impact and significance of Afrofuturism and techno music for the black diaspora.",145,
Planet of the Apes,"Adventure, Sci-Fi",112 min,79,1968,8,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.,"186,877",$33.40M
Isle of Dogs,"Animation, Adventure, Comedy",101 min,82,2018,7.8,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","181,747",$32.02M
Invasion of the Body Snatchers,"Horror, Sci-Fi",115 min,75,1978,7.4,"When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time.","64,978",$24.95M
About Time,"Comedy, Drama, Fantasy",123 min,55,2013,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","369,256",$15.32M
G.O.R.A.,"Adventure, Comedy, Sci-Fi",127 min,,2004,8,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,"65,049",
Tekkon kinkurîto,"Animation, Action, Adventure",111 min,65,2006,7.5,2 boys defend Treasure Town. Yakuza try to take over and clear it for new development.,"14,172",
Redline,"Animation, Action, Sci-Fi",102 min,,2009,7.5,"A story about the most popular racing event in the galaxy, the Redline, and the various racers who compete in it.","15,931",
Lilo & Stitch,"Animation, Adventure, Comedy",85 min,74,2002,7.3,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","202,867",$145.79M
Nowhere,"Comedy, Drama, Sci-Fi",82 min,44,1997,6.4,Follows a day in the lives of a group of Los Angeles high school students and the strange lives they lead.,"9,752",$0.03M
Ivan Vasilevich menyaet professiyu,"Adventure, Comedy, Sci-Fi",88 min,,1973,8.2,"An ordinary Soviet building manager, living in the 20th century, looks like Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He'd never known this, until his neighbor created a time machine.","17,665",
The Terminator,"Action, Sci-Fi",107 min,84,1984,8.1,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","895,584",$38.40M
Sobache serdtse,"Comedy, Drama, Sci-Fi",136 min,,1988,8.6,"In the wake of the Russian revolution, Professor Preobrazhensky rescues a starving dog from the gutter, and attempts to transform him into a man. Based on Mikhail Bulgakov's novel of the same name.","8,557",
Born in Flames,"Comedy, Drama, Sci-Fi",79 min,,1983,6.5,"Set ten years after the most peaceful revolution in United States history, it presents a dystopia in which the issues of many groups - minorities, liberals, gay rights organizations, feminists - are dealt with by the government.","1,896",
The Falls,"Comedy, Sci-Fi",195 min,,1980,7.2,"92 BBC documentary-style shorts that record the lives of 92 victims of the VUE (Violent Unexplained Event), each with last names beginning with ""Fall.""","1,611",
Thor: Ragnarok,"Action, Adventure, Comedy",130 min,74,2017,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","787,144",$315.06M
Evangerion shin gekijôban: Ha,"Animation, Action, Drama",112 min,46,2009,7.9,"Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and ...                See full summary »","23,530",$0.13M
Mad Max 2,"Action, Adventure, Sci-Fi",96 min,77,1981,7.6,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.","187,779",$12.47M
Kôkaku kidôtai: S.A.C. 2nd GIG - Individual eleven,"Animation, Action, Drama",162 min,,2006,8.3,A new terrorist organization known as the Individual Eleven is bent on mass destruction. Will the cyborg detective heroine and her elite anti-crime unit be able to stop them?,"3,235",
Vynález zkázy,"Animation, Adventure, Fantasy",84 min,,1958,7.5,An evil millionaire named Artigas plans to use a super-explosive device to conquer the world from his headquarters inside an enormous volcano.,"2,630",
RoboCop,"Action, Crime, Sci-Fi",102 min,70,1987,7.6,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.","270,555",$53.42M
King Kong,"Adventure, Horror, Sci-Fi",100 min,92,1933,7.9,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.","88,534",$10.00M
Bis ans Ende der Welt,"Action, Drama, Sci-Fi",158 min,63,1991,6.8,"In 1999, Claire's life is forever changed after she survives a car crash. She rescues Sam and starts traveling around the world with him. Writer Eugene follows them and writes their story, as a way of recording dreams is being invented.","10,876",$0.75M
Mauvais sang,"Crime, Drama, Romance",116 min,74,1986,7.2,"As a deadly virus which infects people who have loveless sex sweeps Paris, a lonely pariah attempts to steal a potent antidote, only to fall for the mistress of his partner-in-crime. Is the infectious young love the cure to the bad blood?","8,968",$0.02M
Frankenstein,"Drama, Horror, Sci-Fi",70 min,91,1931,7.8,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,"76,266",
Hombre mirando al sudeste,"Drama, Mystery, Sci-Fi",105 min,,1986,7.6,A patient in a mental hospital claims to be an extraterrestial. Could he be right?,"4,428",$0.73M
Kidô senshi Gandamu III: Meguriai sorahen,"Animation, Action, Drama",144 min,,1982,7.6,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle ...                See full summary »","1,396",
E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi",115 min,92,1982,7.9,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"424,565",$435.11M
Videodrome,"Horror, Sci-Fi, Thriller",87 min,60,1983,7.2,A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.,"98,451",$2.12M
The Return of the Living Dead,"Comedy, Horror, Sci-Fi",91 min,66,1985,7.3,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.","65,340",$14.24M
Moon,"Drama, Mystery, Sci-Fi",97 min,67,2009,7.8,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","368,873",$5.01M
The Invisible Man,"Horror, Sci-Fi",71 min,87,1933,7.6,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.","37,865",
Batoru rowaiaru,"Action, Adventure, Drama",114 min,81,2000,7.6,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill one another under the revolutionary ""Battle Royale"" act.","189,664",
Gamera 3: Jashin kakusei,"Fantasy, Horror, Sci-Fi",108 min,,1999,7.1,"Gamera's ties to humanity have been severed as the Gyaos re-emerge. Nagamine and Asagi investigate as an orphaned girl named Ayana discovers a new creature. Named Iris, Ayana seeks revenge on Gamera for the death of her family.","3,082",
Turma da Mônica em uma Aventura no Tempo,"Animation, Adventure, Comedy",81 min,,2007,7.1,"Our heroes need to take a trip in time, in a Time Machine, in order to recoup the essence of the four elements before the Earth gets frozen. The Gang will face the dangers of the Ancient ...                See full summary »",609,
Kin-dza-dza!,"Comedy, Drama, Sci-Fi",135 min,,1986,7.9,Two Russians push the wrong button on a strange device and end up on the telepathic planet Pluke with its strange societal norms.,"13,286",
Memorîzu,"Animation, Sci-Fi, Thriller",113 min,,1995,7.5,"An animated science fiction anthology from the visionary anime director, Katsuhiro Otomo.","20,079",
Guardians of the Galaxy,"Action, Adventure, Comedy",121 min,76,2014,8,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"1,236,477",$333.18M
Lucia,"Drama, Sci-Fi, Thriller",135 min,,2013,8.3,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.","12,738",
Spider-Man 2,"Action, Adventure, Sci-Fi",127 min,83,2004,7.5,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"682,201",$373.59M
Tetsuo,"Horror, Sci-Fi",67 min,,1989,6.9,"A businessman accidentally kills The Metal Fetishist, who gets his revenge by slowly turning the man into a grotesque hybrid of flesh and rusty metal.","24,690",
Bullet Ballet,"Crime, Drama, Sci-Fi",87 min,,1998,7,"A man sees his life changed forever when his fiancee shoots herself. Baffled, he wants by all means to obtain such a weapon of destruction and he finds himself caught in the middle of a ...                See full summary »","2,928",
Mad God,"Animation, Fantasy, Horror",83 min,80,2021,6.8,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator.","12,432",
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",108 min,57,1989,7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","554,710",$118.50M
Ginga eiyû densetsu: Arata naru tatakai no jokyoku,"Animation, Action, Drama",90 min,,1993,7.9,"The recently ennobled Reinhard Von Lohengramm who on suspicion of imperial favouritism and nepotism is facing resistance from his peers, and Yang Wen-Li the unwilling hero of the opposite ...                See full summary »",704,
