Movie_Name,Genre,Running_Time,Metascore,Release_year,IMDb_Rating,Movie_Description,Votes,Gross
Chelovek-amfibiya,"Adventure, Drama, Romance",96 min,,1961,7,"People living in a seaside town are frightened by reports about an unknown creature in the ocean. Nobody knows what it is, but it's really the son of Doctor Salvator. The doctor performed ...                See full summary »","2,705",
The War of the Worlds,"Action, Sci-Fi, Thriller",85 min,78,1953,7,"A small town in California is attacked by Martians, beginning a worldwide invasion.","37,440",$4.36M
Dr Jekyll & Sister Hyde,"Horror, Sci-Fi",97 min,,1971,6.6,A Victorian scientist tests a serum that transforms him into a sensuous murderess.,"3,518",$0.20M
Purojekuto A-ko,"Animation, Action, Adventure",86 min,,1986,6.9,"A plucky, super-powered redhead finds herself saving her crybaby best friend from an amorous, bikini armor-clad classmate at their new school and aliens seeking to bring her home.","1,390",
Gap tung kei hap,"Action, Comedy, Romance",114 min,,1989,6.6,A frozen Ming Dynasty royal guard and the equally frigid rapist-killer he's tracking are thawed out in modern-day Hong Kong.,"1,073",
Chiisaki yûsha-tachi: Gamera,"Action, Adventure, Family",96 min,,2005,6.6,"In 1973, Gamera sacrifices his life to rid the world of the Gyaos once and for all. Thirty-three years later, a small boy, whose father witnessed the 1973 event, named Toru finds a ...                See full summary »","1,335",
The History of Future Folk,"Comedy, Music, Sci-Fi",86 min,67,2012,7,"The possibly exaggerated origin story of the real life alien bluegrass band, Future Folk, that has been playing for NYC audiences for the better part of a decade.","3,652",$0.02M
Seksmisja,"Adventure, Comedy, Sci-Fi",117 min,,1984,7.5,"Two scientists are placed in hibernation and should be awaken after three years. But when they wake up, it turns out that it has been fifty years, and they are the only two males in a new, underground society composed exclusively of women.","13,868",
Gojira tai Hedora,"Animation, Action, Family",85 min,,1971,6,"An ever evolving alien life-form from the Dark Gaseous Nebula arrives to consume rampant pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity or Godzilla may be able to defeat this toxic menace.","6,086",
Cloud Atlas,"Drama, Mystery, Sci-Fi",172 min,55,2012,7.4,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","368,954",$27.11M
Gojira vs. Kingu Gidorâ,"Action, Adventure, Drama",103 min,,1991,6.4,Time travelers use Godzilla in their scheme to destroy Japan to prevent the country's future economic reign.,"6,753",
Sanpo suru shinryakusha,"Drama, Sci-Fi",129 min,64,2017,6.2,"Three aliens travel to Earth in preparation for a mass invasion, taking possession of human bodies.","2,720",$0.05M
Ad Astra,"Adventure, Drama, Mystery",123 min,80,2019,6.5,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","250,855",$50.19M
Face/Off,"Action, Crime, Sci-Fi",138 min,82,1997,7.3,"To foil a terrorist plot, an FBI agent assumes the identity of the criminal who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge.","390,391",$112.23M
The Infinite Man,"Comedy, Fantasy, Sci-Fi",85 min,,2014,6.2,A man's attempt to construct the ultimate romantic weekend backfires when his quest for perfection traps his lover in an infinite loop.,"1,966",
Finch,"Adventure, Drama, Sci-Fi",115 min,57,2021,6.9,"On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.","90,703",
The Rocketeer,"Action, Adventure, Family",108 min,61,1991,6.5,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,"60,236",$46.70M
24,"Action, Comedy, Drama",164 min,,2016,7.9,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son.","23,274",
The Golden Voyage of Sinbad,"Action, Adventure, Fantasy",105 min,69,1973,6.8,"Sinbad and the vizier of Marabia, followed by evil magician Koura, seek the three golden tablets that can gain them access to the ancient temple of the Oracle of All Knowledge.","10,008",$3.03M
God Told Me To,"Crime, Horror, Sci-Fi",91 min,55,1976,6.2,"A New York detective investigates a series of murders committed by random New Yorkers who claim that ""God told them to.""","6,230",
Dawn of the Dead,"Action, Horror",101 min,59,2004,7.3,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","264,770",$59.02M
Ron's Gone Wrong,"Animation, Adventure, Comedy",107 min,65,2021,7,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.","37,991",
Everything Beautiful Is Far Away,"Fantasy, Sci-Fi",91 min,,2017,5.8,"A guy, a girl, and a robothead hike across a desert planet in search of a mythical lake.","1,090",
Westworld,"Action, Drama, Sci-Fi",88 min,77,1973,6.9,"A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.","61,300",$16.06M
Soylent Green,"Crime, Mystery, Sci-Fi",97 min,66,1973,7,A nightmarish futuristic fantasy about the controlling power of big corporations and an innocent cop who stumbles on the truth.,"68,219",$7.92M
Kamikaze 1989,"Sci-Fi, Thriller",106 min,,1982,5.8,"In a totalitarian society of the future, in which the government controls all facets of the press, a homicide detective investigates a string of bombings, and finds out more than he bargained for.",799,$0.02M
Frequency,"Crime, Drama, Mystery",118 min,67,2000,7.4,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.","112,826",$45.01M
Sukai kurora,"Animation, Drama, Sci-Fi",122 min,,2008,6.7,"The Kildren, a group of eternally young fighter pilots, experience the sudden loss of innocence as they battle the enemy in astonishing dogfights above the clouds.","5,802",
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",169 min,58,2012,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","849,936",$303.00M
The Day After,"Drama, Sci-Fi",127 min,,1983,7,The effects of a devastating nuclear holocaust on small-town residents of eastern Kansas.,"17,176",
Innerspace,"Action, Adventure, Comedy",120 min,66,1987,6.8,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.","63,210",$25.89M
Afro Samurai: Resurrection,"Animation, Action, Adventure",97 min,,2009,7.1,"When his father's body is stolen from its grave, Afro takes up his sword again to tear through an army of deadly foes led by a sadistic leader.","9,234",
The Stone Tape,"Fantasy, Horror, Mystery",90 min,,1972,6.4,"A research team from an electronics company moves into an old Victorian house to start work on finding a new recording medium. When team member Jill Greeley witnesses a ghost, team director...                See full summary »","1,702",
The X Files,"Drama, Mystery, Sci-Fi",121 min,60,1998,7,Mulder and Scully must fight the government in a conspiracy and find the truth about an alien colonization of Earth.,"108,222",$83.90M
Sound of My Voice,"Drama, Mystery, Sci-Fi",87 min,67,2011,6.6,Two documentary filmmakers attempt to penetrate a cult who worships a woman who claims to be from the future.,"22,538",$0.41M
The Medusa Touch,"Drama, Mystery",109 min,49,1978,6.9,A telekinetic novelist causes disasters simply by thinking about them.,"7,134",
Dr. Jekyll and Mr. Hyde,"Drama, Horror, Sci-Fi",69 min,,1920,6.9,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.","5,753",
Yiu sau dou si,"Action, Drama, Fantasy",87 min,,1992,5.6,"Lung and his partner Ling is assigned to go after Daishu for selling a drug from the Rapters's world called 'Happiness' which causes people to evaporate, Lung, Ling and Wan-Gei join forces to fight the Rapters.","1,049",
Born of Fire,"Drama, Fantasy, Horror",84 min,,1987,6.1,"A musician searches for the Master Flautist, a supernatural creature who is planning to blow up the world.",609,
THX 1138,"Drama, Sci-Fi, Thriller",86 min,75,1971,6.7,"In the 25th century, a time when people have designations instead of names, a man, THX 1138, and a woman, LUH 3417, rebel against their rigidly-controlled society.","53,330",$2.44M
Diamantino,"Comedy, Drama, Fantasy",96 min,75,2018,6.3,"A fallen soccer superstar vows to adopt a refugee child, while becoming the naive unwitting centerpiece in in a bizarre plot to Make Portugal Great Again.","3,084",$0.07M
La región salvaje,"Drama, Horror, Mystery",98 min,72,2016,6.1,"A couple in a troubled marriage locate a meteorite, initiating an encounter with a mysterious creature. Their lives are turned upside down by the discovery of the creature, which is a source of both pleasure and destruction.","6,264",$0.03M
Slaughterhouse-Five,"Comedy, Drama, Sci-Fi",104 min,66,1972,6.8,Billy Pilgrim has mysteriously become unstuck in time. He goes on an uncontrollable trip back and forth from his birth in New York to life on a distant planet and back again to the horrors of the 1945 fire-bombing of Dresden.,"13,580",$0.57M
Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",124 min,45,2021,7.1,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","195,848",$129.36M
The Damned,"Drama, Fantasy, Horror",87 min,72,1962,6.6,"An American tourist, a youth gang leader, and his troubled sister find themselves trapped in a top secret government facility experimenting on children.","3,791",
Stargate: Continuum,"Action, Adventure, Drama",98 min,,2008,7.4,Ba'al travels back in time and prevents the Stargate program from being started. SG-1 must somehow restore history.,"25,689",
Superman vs. The Elite,"Animation, Action, Sci-Fi",76 min,,2012,7,The Man of Steel finds himself outshone by a new team of ruthless superheroes who hold his idealism in contempt.,"14,617",
The Little Prince,"Family, Fantasy, Musical",88 min,,1974,6.4,"A pilot, stranded in the desert, meets a little boy who is a prince on a planet.","3,799",$0.99M
Mad Max,"Action, Adventure, Sci-Fi",88 min,73,1979,6.8,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.","215,126",$8.75M
Varathan,"Action, Drama, Thriller",130 min,,2018,7.5,"After losing his job Abin along with his wife Priya, who has suffered a miscarriage, decide to shift from Dubai to Priya's family estate in Kerala. However, peace eludes the couple as they run into a set of new troubles.","4,359",
Black Widow,"Action, Adventure, Sci-Fi",134 min,68,2021,6.7,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"404,659",$183.65M
Signs,"Drama, Mystery, Sci-Fi",106 min,59,2002,6.8,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.","375,875",$227.97M
You're Next,"Drama, Horror, Thriller",95 min,66,2011,6.6,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.","105,403",$18.47M
Hellboy II: The Golden Army,"Action, Adventure, Fantasy",120 min,78,2008,7,A prince of the mythical world starts a rebellion against humanity in order to rule the Earth. Hellboy and his team must fight to stop him from locating the all-powerful Golden Army.,"280,146",$75.75M
The Man They Could Not Hang,"Crime, Horror, Sci-Fi",64 min,,1939,6.8,"When Dr. Savaard's experiment in cryonics is interrupted by the short-sighted authorities, his volunteer dies, and he is condemned to death. He vows vengeance if he can survive his own hanging.","1,867",
Prospect,"Adventure, Drama, Sci-Fi",100 min,68,2018,6.3,"A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive. Forced to contend not only with the forest's other ruthless inhabitants, but with her own ...                See full summary »","31,582",
Spontaneous,"Comedy, Drama, Horror",101 min,78,2020,6.5,"Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.","16,482",
Gekijouban Psycho-Pass,"Animation, Action, Crime",113 min,,2015,7.1,"In this sequel to Psycho-Pass TV show, Inspector Tsunemori is sent to a neighboring war-torn nation, where the Sibyl System is being introduced as an experiment, to find Shinya Kogami, her former enforcer who went rogue three years ago.","4,297",$0.14M
Pánico en el Transiberiano,"Adventure, Horror, Sci-Fi",91 min,68,1972,6.5,"While on the Trans-Siberian Express, an anthropologist and his rival must contain the threat posed by the former's cargo: a prehistoric ape which is the host for a parasitic life-form.","11,960",
Contagion,"Drama, Thriller",106 min,70,2011,6.8,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","310,322",$75.66M
Matango,"Horror, Mystery, Sci-Fi",89 min,,1963,6.4,Shipwrecked survivors slowly transform into mushrooms.,"3,384",
Ant-Man,"Action, Comedy, Sci-Fi",117 min,64,2015,7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.","700,637",$180.20M
Frankenstein Created Woman,"Horror, Sci-Fi",86 min,,1967,6.5,"After being reanimated, Baron Frankenstein transfers the soul of an executed young man into the body of his lover, prompting her to kill the men who wronged them.","5,188",
Le dernier combat,Sci-Fi,92 min,,1983,6.7,"In a post-apocalyptic future where no one is able to speak, the few remaining humans fight over resources in order to survive.","6,374",
Kara no kyôkai: Mirai fukuin,"Animation, Drama, Fantasy",90 min,,2013,7.2,Mirai Fukuin is an adaptation of a side story from the Kara no Kyoukai novel series. It is divided into two parts. Möbius ring Shizune Seo and Mitsuru Kamekura are psychics who can see the ...                See full summary »,884,
Eternals,"Action, Adventure, Fantasy",156 min,52,2021,6.3,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","366,212",$164.87M
Lapsis,"Drama, Mystery, Sci-Fi",108 min,74,2020,6.2,"Struggling to support himself and his ailing younger brother, delivery man Ray takes a strange job in a strange new realm of the gig economy.","2,501",
The Powerpuff Girls Movie,"Animation, Action, Adventure",73 min,65,2002,6.5,"After destroying the city of Townsville in a game of tag, a trio of super-powered little girls must redeem themselves by stopping a vengeful monkey's plot for world domination.","10,651",$11.41M
Dasavatharam,"Action, Adventure, Sci-Fi",188 min,,2008,7.2,"After realizing the danger of a bio-weapon, a scientist wants to protect it from being misused. The vial accidentally reaches India, and he must race against time to prevent a potential disaster.","10,252",
Gojira X Mekagojira,"Action, Sci-Fi, Thriller",88 min,,2002,6.6,A new Godzilla causes the JSDF to construct a cyborg countermeasure from the original monster's remains. The beast's restless soul is discovered to inhabit the machine as the pilot must learn to find value in her own life.,"5,029",
Midnight Special,"Drama, Mystery, Sci-Fi",112 min,76,2016,6.6,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.","82,752",$3.71M
Meet the Robinsons,"Animation, Adventure, Comedy",95 min,61,2007,6.8,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.","106,903",$97.82M
Superman II,"Action, Adventure, Sci-Fi",127 min,83,1980,6.8,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","111,884",$108.19M
Versus,"Action, Drama, Fantasy",119 min,,2000,6.3,There are 666 portals that connect this world to the other side. These are concealed from all human beings. Somewhere in Japan exists the 444th portal.... The forest of resurrection.,"13,502",
Justice League: Crisis on Two Earths,"Animation, Action, Fantasy",75 min,,2010,7.2,A good version of Lex Luthor from a parallel Earth comes to the Justice League's dimension for help to fight their evil counterparts.,"28,286",
Night of the Comet,"Comedy, Horror, Sci-Fi",95 min,59,1984,6.3,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.","22,610",$14.42M
The Survivalist,"Drama, Sci-Fi, Thriller",104 min,80,2015,6.4,"In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened.","18,181",
Jesus Shows You the Way to the Highway,"Action, Comedy, Sci-Fi",83 min,,2019,5.7,"CIA Agents Palmer and Gagano are tasked with the mission of destroying a computer virus called ""Soviet Union"". They enter the system using VR but the mission turns into a trap.","1,022",
Forbrydelsens element,"Crime, Drama, Thriller",104 min,66,1984,6.7,A cop in a dystopian Europe investigates a serial killings suspect using controversial methods written by his now disgraced former mentor.,"10,816",
These Final Hours,"Drama, Sci-Fi, Thriller",87 min,61,2013,6.6,"A self-obsessed young man makes his way to the party-to-end-all-parties on the last day on Earth, but ends up saving the life of a little girl searching for her father. Their relationship ultimately leads him on the path to redemption.","18,343",
Captain America: The First Avenger,"Action, Adventure, Sci-Fi",124 min,66,2011,6.9,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.","873,150",$176.65M
Quatermass 2,"Sci-Fi, Horror",85 min,,1957,6.8,"Professor Quatermass, trying to gather support for his Lunar colonisation project, is intrigued by mysterious traces that have been showing up.","4,364",
Avatar,"Action, Adventure, Fantasy",162 min,83,2009,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"1,356,972",$760.51M
The Quatermass Xperiment,"Horror, Sci-Fi",82 min,,1955,6.6,"Professor Bernard Quatermass' manned rocket ship returns to Earth, but two of the astronauts are missing and the survivor seems ill and unable to communicate.","6,819",
Fast Color,"Drama, Sci-Fi, Thriller",100 min,64,2018,6.1,"After years in hiding, a woman is forced to go on the run when her superhuman abilities are discovered. Years after having abandoned her family, the only place she has left to hide is home.","6,791",$0.08M
Futurama: Into the Wild Green Yonder,"Animation, Comedy, Sci-Fi",89 min,,2009,7.2,"The team visits New Vegas. Leela tries to save eco systems. Fry gets mind-reading abilities - useful at the poker championship. Bender has an affair with the robot mafia boss's wife. Can the team stop Wong's space ""mini"" golf project?","19,119",
Frankenstein Must Be Destroyed,"Drama, Horror, Sci-Fi",101 min,,1969,6.7,"Baron Frankenstein, with the aid of a young doctor and his fiancée, kidnaps the mentally sick Dr. Brandt in order to perform the first brain transplant operation.","5,092",$0.10M
The Girl with All the Gifts,"Action, Adventure, Drama",111 min,67,2016,6.6,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,"62,665",
The Congress,"Animation, Drama, Sci-Fi",122 min,63,2013,6.4,"An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.","19,485",$0.14M
The Last Man on Earth,"Drama, Horror, Sci-Fi",86 min,,1964,6.7,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.","20,587",
X-Men,"Action, Adventure, Sci-Fi",104 min,64,2000,7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","631,902",$157.30M
Max Headroom,"Comedy, Drama, Sci-Fi",57 min,,1985,7.1,"In the dystopic near future, a crusading TV reporter investigates news stories with the help of a wisecracking computer version of himself.","2,222",
Gojira tai Mekagojira,"Action, Adventure, Family",84 min,,1974,6.2,"An Okinawan prophecy appears to foretell Earth's destruction at the hands of Godzilla, only for the true Godzilla to reveal his doppelganger as a mechanical alien weapon.","7,342",
The Endless,"Drama, Fantasy, Horror",111 min,80,2017,6.5,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.","46,761",$0.27M
Vanilla Sky,"Fantasy, Mystery, Romance",136 min,45,2001,6.9,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,"278,743",$100.61M
Gojira: Fainaru uôzu,"Action, Adventure, Fantasy",106 min,,2004,6.3,"Godzilla's fiftieth Anniversary project, in which Godzilla travels around the world to fight his old foes and his allies plus a new, mysterious monster named Monster X.","8,978",
Outland,"Action, Crime, Sci-Fi",109 min,48,1981,6.6,A federal marshal stationed at a mining colony on the Jupiter moon of Io uncovers a drug-smuggling conspiracy. He gets no help from the workers or authorities when he finds himself marked for murder.,"31,406",$17.37M
Banlieue 13,"Action, Crime, Sci-Fi",84 min,70,2004,7.1,"In the ghettos of Paris in 2010, an undercover cop and an ex-thug try to infiltrate a gang in order to defuse a neutron bomb.","72,489",$1.20M
Bakuretsu toshi,"Action, Music, Sci-Fi",115 min,,1982,6,Punk rock gangs and music groups clash with one another and the brutal police force in a futuristic Tokyo setting.,800,
Something Wicked This Way Comes,"Fantasy, Mystery, Thriller",95 min,68,1983,6.7,"In a small American town, a diabolical circus and its demonic proprietor prey on the townsfolk.","10,127",$8.40M
Cloverfield,"Action, Adventure, Horror",85 min,64,2008,7,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,"411,486",$80.05M
The Death of Dick Long,"Comedy, Crime, Drama",100 min,69,2019,6.4,"Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad though, cause news travels fast in small-town Alabama.","6,756",
Pacific Rim,"Action, Adventure, Sci-Fi",131 min,65,2013,6.9,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.","517,439",$101.80M
Shazam!,"Action, Adventure, Comedy",132 min,71,2019,7,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,"370,292",$140.37M
Justice League: The New Frontier,"Animation, Action, Adventure",75 min,,2008,6.9,"In the 1950s, a new generation of superheroes must join forces with the community's active veterans and a hostile US government to fight a menace to Earth.","20,936",
Kaijû sôshingeki,"Action, Adventure, Sci-Fi",89 min,,1968,6.4,"At the turn of the century, Earth's monsters have been safely rounded up and studied on Monsterland. Chaos erupts when a race of she-aliens known as the Kilaaks unleashes the monsters across the world.","6,980",
Toki o kakeru shôjo,"Adventure, Sci-Fi",122 min,,2010,6.5,A high-school girl acquires the ability to time travel.,"1,688",
Fantastic Voyage,"Adventure, Sci-Fi",100 min,72,1966,6.8,"When a blood clot renders a scientist comatose, a submarine and its crew are shrunk and injected into his bloodstream in order to save him.","20,167",
Planet Terror,"Action, Comedy, Horror",105 min,,2007,7,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.","218,345",
Capricorn One,"Action, Adventure, Drama",123 min,38,1977,6.8,"When the first manned flight to Mars is deemed unsafe and scrubbed on the launch pad, anxious authorities must scramble to save face and retain their funding - and so an unthinkable plot to fake the mission is hatched.","23,846",
Slither,"Comedy, Horror, Sci-Fi",95 min,69,2006,6.5,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.","86,435",$7.77M
A Nuvem Rosa,"Drama, Sci-Fi",105 min,69,2021,6,"After a toxic and mysterious pink cloud appeared, Giovana finds herself stuck in a flat with a man she just met, changing her life in a way she never expected.",855,
Stargate: The Ark of Truth,"Action, Adventure, Drama",101 min,,2008,7.2,"SG-1 search for an Ancient artifact called the Ark of Truth to finally defeat the Ori. However, the Ark is in the Ori's galaxy.","23,337",
Bill & Ted's Bogus Journey,"Adventure, Comedy, Fantasy",93 min,60,1991,6.3,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,"79,140",$38.04M
964 Pinocchio,"Horror, Sci-Fi",97 min,,1991,5.5,"Pinocchio 964, lobotomised cyborg sex slave, is thrown out onto the street by his owners because of his inability to maintain an erection. He is befriended by a criminally insane, ...                See full summary »","2,107",
Star Trek Beyond,"Action, Adventure, Sci-Fi",122 min,68,2016,7,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","253,532",$158.85M
The Deadly Spawn,"Horror, Sci-Fi",81 min,,1983,5.9,"Alien creatures invade a small town and four teenagers, along with a young boy, attempt to escape from them.","5,142",
Ngo si seoi,"Action, Adventure, Comedy",120 min,,1998,6.8,"A Secret Agent loses his memory after falling from a crashing helicopter. He is then chased by several other agency operatives, but he has no idea why.","41,892",
Class of 1984,"Action, Crime, Drama",98 min,49,1982,6.5,A new teacher at a troubled inner-city high school soon ends up clashing with the delinquent leader of a punk posse that runs the school.,"12,754",
Dai-Nihonjin,"Action, Comedy, Sci-Fi",113 min,62,2007,6.2,An eccentric man living alone in a decrepit house in Tokyo periodically transforms into a 100-foot tall giant in order to defend Japan against similarly sized monsters.,"3,909",$0.04M
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",93 min,51,1990,6.7,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,"99,726",$135.27M
OXV: The Manual,"Mystery, Romance, Sci-Fi",109 min,,2013,6.7,"In an alternate reality, children learn how lucky they will be (their ""frequency""), knowledge which shapes their destiny. The unluckiest boy must parse the mysteries of free will in order to pursue his forbidden love of the luckiest girl.","14,608",
The Caller,"Mystery, Sci-Fi, Thriller",97 min,,1987,6.1,"A woman, living in an isolated cabin, lets a mysterious stranger in to make a phone call.","1,363",
Bride of Re-Animator,"Comedy, Horror, Sci-Fi",96 min,54,1990,6.2,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.,"16,905",
Gojira vs. Mekagojira,"Action, Adventure, Drama",108 min,,1993,6.5,"The United Nations assembles the ultimate weapon to defeat Godzilla, while scientists discover a fresh pteranodon egg on a remote Japanese island.","5,402",
The Devil-Doll,"Drama, Horror, Sci-Fi",78 min,,1936,7,An escaped convict uses miniaturized humans to wreak vengeance on those who framed him.,"4,684",
Batman: Return of the Caped Crusaders,"Animation, Action, Adventure",78 min,,2016,6.7,Batman and Robin of the 1960s live action series are back in action to take down their fiendish foes united once more against them.,"6,193",
Marjorie Prime,"Drama, Romance, Sci-Fi",99 min,82,2017,6.3,A service that provides holographic recreations of deceased loved ones allows a woman to come face-to-face with the younger version of her late husband.,"6,710",$0.18M
The Man with Two Brains,"Comedy, Romance, Sci-Fi",93 min,61,1983,6.4,"A brain surgeon marries a femme fatale, causing his life to turn upside down. Things go more awry when he falls in love with a talking brain.","27,271",$10.10M
High Life,"Adventure, Drama, Horror",113 min,78,2018,5.8,A father and his daughter struggle to survive in deep space where they live in isolation.,"38,692",$1.23M
La nuit des traquées,"Drama, Horror, Mystery",92 min,,1980,5.6,A woman is taken to a mysterious clinic whose patients have a mental disorder in which their memories and identities are disintegrating as a result of a strange environmental accident.,"1,906",
Silent Running,"Drama, Sci-Fi",89 min,67,1972,6.6,"In a future where all flora is extinct on Earth, an astronaut is given orders to destroy the last of Earth's botany, kept in a greenhouse aboard a spacecraft.","30,615",$0.69M
Pitch Black,"Action, Horror, Sci-Fi",109 min,49,2000,7,A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.,"248,491",$39.24M
El hoyo,"Horror, Sci-Fi, Thriller",94 min,73,2019,7,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"251,905",
The Wild Hunt,"Drama, Thriller",96 min,,2009,6.3,A medieval reenactment game turns into a Shakespearean tragedy when a non-player crashes the event to win back his girlfriend.,"1,993",
Death Race 2000,"Action, Comedy, Sci-Fi",80 min,58,1975,6.2,"In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.","29,516",$8.00M
The Boys from Brazil,"Drama, Mystery, Sci-Fi",125 min,40,1978,7,A Nazi hunter in Paraguay discovers a sinister and bizarre plot to rekindle the Third Reich.,"29,562",$19.00M
The Astrologer,Horror,79 min,,1975,4.3,A scientist who works for a secret government agency that studies zodiac signs finds himself against a dangerous Indian cult lead by a powerful enigmatic man.,338,
Futurama: Bender's Game,"Animation, Action, Adventure",88 min,,2008,7.2,The Planet Express crew get trapped in a fantasy world.,"21,552",
Safety Not Guaranteed,"Adventure, Comedy, Drama",86 min,72,2012,6.9,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,"128,740",$4.01M
Teen Titans Go! To the Movies,"Animation, Action, Adventure",84 min,69,2018,6.7,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,"20,859",$29.79M
Independence Day,"Action, Adventure, Sci-Fi",145 min,59,1996,7,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","592,339",$306.17M
